Teff	log(g)	T_BB_U	T_BB_B	T_BB_V	T_BB_R	T_BB_I
5900.0	5.0	5998.85480	6245.81513	6251.53799	6174.67245	6117.06496
5900.0	5.5	5941.32222	6203.30296	6221.74408	6159.24380	6104.44205
5900.0	6.0	6074.24416	6156.35309	6118.17338	6033.30597	5997.44902
6000.0	4.0	6114.28849	6422.08234	6396.44534	6289.46140	6213.55233
6000.0	4.5	6121.77609	6380.51277	6368.80587	6275.88572	6212.29774
6000.0	5.0	6115.17143	6359.47293	6359.02865	6276.64357	6218.46892
6000.0	5.5	6090.21380	6340.96759	6352.76391	6283.06291	6228.70749
6000.0	6.0	6019.83539	6298.58546	6324.70260	6271.90934	6219.80813
6100.0	4.0	6208.26804	6534.31943	6500.66699	6387.02541	6306.64371
6100.0	4.5	6230.84847	6497.48544	6478.35304	6379.86094	6314.22317
6100.0	5.0	6371.55610	6423.49041	6335.17569	6221.49320	6174.83365
6100.0	5.5	6344.58078	6392.10757	6321.82740	6217.55624	6177.37567
6100.0	6.0	6139.82287	6403.06450	6425.10519	6367.63182	6318.90590
6200.0	4.0	6315.51666	6662.11918	6617.63924	6495.57794	6409.81483
6200.0	4.5	6341.07583	6617.32044	6589.53309	6484.44278	6416.05612
6200.0	5.0	6323.28213	6571.29450	6558.84436	6465.87596	6405.28962
6200.0	5.5	6449.69715	6494.88357	6416.51332	6307.95987	6268.16646
6200.0	6.0	6253.31731	6504.40049	6521.53906	6458.77892	6411.66470
6300.0	4.0	6423.55915	6796.48433	6740.81015	6609.32303	6517.02962
6300.0	4.5	6580.78682	6695.29564	6568.51148	6430.24321	6366.24725
6300.0	5.0	6451.53663	6704.05724	6683.01705	6582.95552	6520.46603
6300.0	5.5	6406.81401	6641.92734	6638.80079	6555.80368	6503.94808
6300.0	6.0	6372.03521	6614.29735	6626.08466	6557.51722	6510.92549
6400.0	4.0	6636.46123	6879.37199	6719.73856	6553.63896	6461.83106
6400.0	4.5	6548.08469	6857.14635	6813.37183	6694.54654	6618.59568
6400.0	5.0	6669.27874	6751.85905	6641.63079	6512.35926	6460.08432
6400.0	5.5	6535.63340	6770.86531	6760.94304	6671.55392	6618.97797
6400.0	6.0	6488.12258	6723.59263	6730.01382	6655.70632	6609.37923
6500.0	4.0	6609.31216	7049.21798	6975.66080	6825.35912	6717.07306
6500.0	4.5	6636.25823	6969.53509	6919.87168	6794.65920	6713.86735
6500.0	5.0	6656.25565	6934.05442	6900.75069	6788.58816	6720.50987
6500.0	5.5	6629.36894	6866.76357	6851.51606	6756.93628	6703.25324
6500.0	6.0	6598.61958	6829.20825	6830.21578	6750.22272	6703.81899
6600.0	4.0	6789.08557	7118.38813	6948.15749	6763.67055	6655.16101
6600.0	4.5	6832.10877	7031.26657	6888.55244	6730.29456	6652.32580
6600.0	5.0	6862.11804	6985.56053	6860.87952	6715.25530	6652.39582
6600.0	5.5	6749.33650	6993.57367	6972.09034	6870.82763	6815.29224
6600.0	6.0	6852.42522	6896.43378	6810.24859	6692.30519	6658.02397
6700.0	4.0	6779.46898	7301.67964	7212.68958	7041.67321	6913.18530
6700.0	4.5	6909.28262	7145.21458	6999.27697	6833.59489	6749.22088
6700.0	5.0	6946.33002	7094.96191	6967.07814	6815.18590	6748.08478
6700.0	5.5	6851.11954	7104.99849	7078.49625	6971.08074	6913.17733
6700.0	6.0	6820.71202	7048.48220	7039.16440	6947.31220	6899.74293
6800.0	4.0	6935.41352	7361.81851	7182.09740	6976.03234	6846.67454
6800.0	4.5	6912.31049	7341.36354	7272.42180	7121.38696	7018.80281
6800.0	5.0	7027.34776	7205.37844	7075.27055	6916.65911	6844.54645
6800.0	5.5	7026.26570	7128.36746	7019.89719	6880.87124	6830.79627
6800.0	6.0	6927.87934	7157.84273	7143.84471	7045.81181	6996.98580
6900.0	4.0	7006.55225	7484.91691	7300.58544	7082.59582	6941.55554
6900.0	4.5	6994.82563	7462.28897	7388.28333	7227.54711	7115.58811
6900.0	5.0	7106.45672	7317.00732	7185.40643	7019.54713	6941.52299
6900.0	5.5	7038.91621	7320.09366	7285.43381	7165.31848	7101.00557
6900.0	6.0	7030.35071	7266.52363	7248.86962	7144.82567	7094.32079
