Teff	log(g)	T_BB_g	T_BB_r	T_BB_i
12000.0	9.00	12058.53958	11959.94078	11883.21604
12000.0	9.25	12026.96098	11939.99067	11906.22578
12000.0	9.50	11998.39263	11942.53663	11934.74244
12250.0	6.50	12582.36463	11802.77771	11326.78476
12250.0	6.75	12557.74714	11832.16269	11375.68734
12250.0	7.00	12520.35678	11851.32675	11418.09351
12250.0	7.25	12465.29056	11850.90403	11453.75277
12250.0	7.50	12404.95675	11891.49414	11535.46418
12250.0	7.75	12369.67163	11949.41689	11642.42709
12250.0	8.00	12369.65538	12030.46898	11770.13564
12250.0	8.25	12371.05638	12111.10273	11894.36650
12250.0	8.50	12343.62821	12147.16930	11976.87298
12250.0	8.75	12309.10537	12165.37635	12038.38999
12250.0	9.00	12275.19694	12172.85315	12085.40838
12250.0	9.25	12244.63434	12178.38770	12127.80144
12250.0	9.50	12217.18512	12157.52486	12151.62243
12500.0	6.50	12765.81356	11975.57454	11487.79379
12500.0	6.75	12745.46790	12001.51810	11534.48348
12500.0	7.00	12716.02446	12024.98658	11577.85831
12500.0	7.25	12673.08331	12038.29668	11615.86530
12500.0	7.50	12612.15600	12059.51639	11677.32960
12500.0	7.75	12555.57551	12098.81583	11767.86773
12500.0	8.00	12537.17605	12171.45286	11890.84687
12500.0	8.25	12548.67291	12268.53016	12032.57174
12500.0	8.50	12543.94670	12332.55090	12145.03307
12500.0	8.75	12516.78401	12356.74815	12221.29777
12500.0	9.00	12485.85955	12372.19109	12273.66227
12500.0	9.25	12455.55626	12383.39629	12323.58165
12500.0	9.50	12429.12088	12374.32880	12361.34027
12750.0	6.50	12946.14026	12150.69649	11652.63344
12750.0	6.75	12929.40746	12150.47944	11676.26820
12750.0	7.00	12904.01204	12176.00843	11720.46353
12750.0	7.25	12866.79404	12198.83082	11766.36900
12750.0	7.50	12812.55693	12229.87916	11827.29454
12750.0	7.75	12750.54453	12263.85016	11906.79995
12750.0	8.00	12711.70390	12323.46675	12017.64172
12750.0	8.25	12713.19932	12411.46677	12155.94771
12750.0	8.50	12731.20691	12502.13211	12295.94791
12750.0	8.75	12720.72688	12546.05602	12389.39414
12750.0	9.00	12695.35801	12581.79099	12470.29003
12750.0	9.25	12666.97232	12590.03801	12526.74466
12750.0	9.50	12640.29804	12600.05207	12570.04881
13000.0	6.50	13122.99876	12299.27940	11792.96517
13000.0	6.75	13109.30349	12314.22096	11831.27816
13000.0	7.00	13088.17854	12360.57466	11892.70627
13000.0	7.25	13057.23906	12387.12211	11939.76618
13000.0	7.50	13013.02238	12409.00767	11986.50777
13000.0	7.75	12952.76596	12432.28434	12051.07695
13000.0	8.00	12895.88115	12467.21085	12141.40431
13000.0	8.25	12876.84070	12551.79185	12276.95820
13000.0	8.50	12896.06897	12628.71945	12415.38725
13000.0	8.75	12911.78708	12722.45481	12549.56002
13000.0	9.00	12897.95168	12771.59861	12646.45950
13000.0	9.25	12874.21955	12795.59301	12715.22287
13000.0	9.50	12848.18024	12810.20596	12772.11984
13250.0	6.50	13298.45220	12475.79785	11961.65295
13250.0	6.75	13286.89264	12494.81444	11996.70170
13250.0	7.00	13268.84268	12506.24545	12031.95572
13250.0	7.25	13241.79582	12553.81589	12096.02992
13250.0	7.50	13202.75809	12572.84028	12138.34691
13250.0	7.75	13147.67255	12595.33761	12196.98095
13250.0	8.00	13086.04221	12626.79824	12278.18577
13250.0	8.25	13047.91299	12696.55897	12400.36575
13250.0	8.50	13053.50103	12781.02212	12545.74943
13250.0	8.75	13087.93861	12870.49434	12690.21584
13250.0	9.00	13094.96728	12949.66874	12809.82704
13250.0	9.25	13079.16072	12987.81660	12894.01248
13250.0	9.50	13056.55026	13010.83415	12963.38694
13500.0	6.50	13471.08596	12636.23368	12115.18499
13500.0	6.75	13461.93194	12656.34276	12150.25205
13500.0	7.00	13446.22697	12668.43690	12186.03512
13500.0	7.25	13423.33297	12699.40991	12234.90742
13500.0	7.50	13389.70146	12740.79371	12294.51267
13500.0	7.75	13342.72121	12772.58580	12355.36570
13500.0	8.00	13281.76429	12792.82605	12421.84319
13500.0	8.25	13227.02620	12847.66111	12529.35847
13500.0	8.50	13213.26614	12919.13781	12659.32458
13500.0	8.75	13245.19571	13034.74699	12827.84179
13500.0	9.00	13278.30206	13120.85721	12965.53921
13500.0	9.25	13276.11189	13177.07113	13069.19660
13500.0	9.50	13259.55799	13208.83547	13149.91370
13750.0	6.50	13642.61522	12780.77782	12252.82096
13750.0	6.75	13635.24891	12817.10786	12303.58340
13750.0	7.00	13622.00421	12849.93210	12356.66009
13750.0	7.25	13601.85504	12882.10190	12406.32174
13750.0	7.50	13572.16473	12911.48004	12453.60414
13750.0	7.75	13529.63493	12939.94980	12510.04682
13750.0	8.00	13473.34553	12968.41905	12575.81841
13750.0	8.25	13412.65563	12996.97784	12658.18663
13750.0	8.50	13380.59315	13063.17434	12783.42234
13750.0	8.75	13398.19102	13162.66304	12939.55377
13750.0	9.00	13446.44502	13277.12787	13105.71678
13750.0	9.25	13466.81967	13359.30254	13236.57835
13750.0	9.50	13459.89810	13407.90788	13335.02494
14000.0	6.50	13812.21415	12944.76538	12410.48953
14000.0	6.75	13806.81576	12972.05401	12450.74453
14000.0	7.00	13795.88233	13011.00661	12510.08940
14000.0	7.25	13777.86120	13043.90110	12560.42513
14000.0	7.50	13751.80766	13075.51999	12608.57503
14000.0	7.75	13714.53204	13107.09530	12665.82475
14000.0	8.00	13665.27552	13129.05411	12724.05737
14000.0	8.25	13604.00289	13170.58424	12813.99828
14000.0	8.50	13555.77786	13200.31086	12910.71212
14000.0	8.75	13554.40450	13311.68721	13070.90703
14000.0	9.00	13599.32534	13418.71643	13231.89206
14000.0	9.25	13644.68349	13534.05982	13396.66455
14000.0	9.50	13652.33335	13589.56490	13503.16699
14250.0	6.50	13981.42137	13103.60763	12563.31987
14250.0	6.75	13977.42668	13131.40159	12603.30809
14250.0	7.00	13968.34295	13157.06825	12653.32105
14250.0	7.25	13952.49411	13205.74613	12714.46624
14250.0	7.50	13928.76518	13238.18398	12763.13854
14250.0	7.75	13895.46165	13271.48329	12820.34014
14250.0	8.00	13850.25029	13304.29404	12882.53295
14250.0	8.25	13792.13103	13327.56671	12957.06069
14250.0	8.50	13736.86680	13356.70699	13046.94194
14250.0	8.75	13715.95619	13444.76023	13185.75849
14250.0	9.00	13748.55864	13556.85122	13361.31731
14250.0	9.25	13809.12445	13666.94646	13526.82950
14250.0	9.50	13838.89113	13769.46155	13669.74727
14500.0	6.50	14149.74815	13258.38050	12712.62247
14500.0	6.75	14146.58037	13307.27657	12772.08489
14500.0	7.00	14138.61060	13329.69846	12810.11659
14500.0	7.25	14125.32039	13345.19811	12849.58576
14500.0	7.50	14103.87340	13393.94056	12912.97630
14500.0	7.75	14074.42933	13435.21875	12975.20459
14500.0	8.00	14033.98141	13470.80188	13038.94535
14500.0	8.25	13981.02463	13479.04286	13097.28578
14500.0	8.50	13923.00306	13533.86099	13199.13420
14500.0	8.75	13884.94018	13595.24449	13322.90025
14500.0	9.00	13899.20762	13678.48753	13471.49927
14500.0	9.25	13959.23580	13822.88312	13665.67386
14500.0	9.50	14013.75731	13942.90079	13830.58572
14750.0	6.50	14317.54865	13416.59774	12865.49904
14750.0	6.75	14315.66845	13466.38632	12925.17390
14750.0	7.00	14309.08300	13489.18652	12963.34981
14750.0	7.25	14296.98025	13504.59651	13002.40594
14750.0	7.50	14277.54818	13560.58207	13070.44222
14750.0	7.75	14250.71075	13597.25462	13128.97400
14750.0	8.00	14214.19455	13625.39871	13185.20075
