Teff	log(g)	T_BB_tess
16500.0	8.25	14110.85928
16500.0	8.50	14166.86400
16500.0	8.75	14229.29135
16500.0	9.00	14300.97696
16500.0	9.25	14392.59842
16500.0	9.50	14518.24074
16750.0	6.50	13947.73408
16750.0	6.75	13983.75606
16750.0	7.00	14021.01657
16750.0	7.25	14061.02158
16750.0	7.50	14105.74114
16750.0	7.75	14156.98773
16750.0	8.00	14208.70669
16750.0	8.25	14265.87259
16750.0	8.50	14323.71734
16750.0	8.75	14385.68533
16750.0	9.00	14454.84037
16750.0	9.25	14543.38719
16750.0	9.50	14657.30346
17000.0	6.50	14099.68843
17000.0	6.75	14136.29465
17000.0	7.00	14173.73849
17000.0	7.25	14217.18175
17000.0	7.50	14260.52125
17000.0	7.75	14312.30640
17000.0	8.00	14364.25180
17000.0	8.25	14421.66281
17000.0	8.50	14481.15267
17000.0	8.75	14544.19954
17000.0	9.00	14611.63284
17000.0	9.25	14697.11798
17000.0	9.50	14799.95011
17250.0	6.50	14257.89104
17250.0	6.75	14292.56884
17250.0	7.00	14328.95041
17250.0	7.25	14372.57436
17250.0	7.50	14418.65074
17250.0	7.75	14468.18818
17250.0	8.00	14520.88957
17250.0	8.25	14579.27913
17250.0	8.50	14638.75042
17250.0	8.75	14702.22765
17250.0	9.00	14766.41796
17250.0	9.25	14845.37447
17250.0	9.50	14946.80208
17500.0	6.50	14409.96675
17500.0	6.75	14446.42394
17500.0	7.00	14484.21183
17500.0	7.25	14526.66127
17500.0	7.50	14573.22873
17500.0	7.75	14624.76972
17500.0	8.00	14679.07985
17500.0	8.25	14737.26302
17500.0	8.50	14798.37147
17500.0	8.75	14859.87127
17500.0	9.00	14923.44369
17500.0	9.25	14999.51627
17500.0	9.50	15102.05675
17750.0	6.50	14565.18917
17750.0	6.75	14601.66766
17750.0	7.00	14644.12467
17750.0	7.25	14687.40524
17750.0	7.50	14729.69190
17750.0	7.75	14781.03684
17750.0	8.00	14836.21111
17750.0	8.25	14893.58459
17750.0	8.50	14956.31550
17750.0	8.75	15019.03428
17750.0	9.00	15082.15289
17750.0	9.25	15154.79875
17750.0	9.50	15260.28753
18000.0	6.50	14719.07307
18000.0	6.75	14760.13219
18000.0	7.00	14797.90104
18000.0	7.25	14841.21108
18000.0	7.50	14888.21461
18000.0	7.75	14938.11238
18000.0	8.00	14993.10695
18000.0	8.25	15053.56062
18000.0	8.50	15114.91769
18000.0	8.75	15179.96352
18000.0	9.00	15242.48388
18000.0	9.25	15313.57631
18000.0	9.50	15423.43495
18250.0	6.50	14875.28402
18250.0	6.75	14914.01384
18250.0	7.00	14953.37148
18250.0	7.25	15001.03751
18250.0	7.50	15043.87096
18250.0	7.75	15095.82180
18250.0	8.00	15150.59924
18250.0	8.25	15210.30224
18250.0	8.50	15274.31015
18250.0	8.75	15339.73889
18250.0	9.00	15404.98060
18250.0	9.25	15473.74231
18250.0	9.50	15587.06801
18500.0	6.50	15034.76232
18500.0	6.75	15073.08749
18500.0	7.00	15111.99188
18500.0	7.25	15155.67029
18500.0	7.50	15201.77054
18500.0	7.75	15254.05496
18500.0	8.00	15309.06259
18500.0	8.25	15369.51834
18500.0	8.50	15434.08827
18500.0	8.75	15500.60004
18500.0	9.00	15565.30614
18500.0	9.25	15634.24971
18500.0	9.50	15755.94636
18750.0	6.50	15189.04741
18750.0	6.75	15227.68275
18750.0	7.00	15267.54713
18750.0	7.25	15313.60024
18750.0	7.50	15360.08595
18750.0	7.75	15412.45165
18750.0	8.00	15470.57650
18750.0	8.25	15531.14301
18750.0	8.50	15595.99953
18750.0	8.75	15661.93884
18750.0	9.00	15728.42421
18750.0	9.25	15799.38265
18750.0	9.50	15927.63572
19000.0	6.50	15346.19189
19000.0	6.75	15384.78679
19000.0	7.00	15425.43702
19000.0	7.25	15472.16588
19000.0	7.50	15520.29849
19000.0	7.75	15572.56753
19000.0	8.00	15630.61212
19000.0	8.25	15691.26492
19000.0	8.50	15756.97104
19000.0	8.75	15823.93921
19000.0	9.00	15892.84946
19000.0	9.25	15964.54472
19000.0	9.50	16102.21559
19250.0	6.50	15507.06030
19250.0	6.75	15542.78334
19250.0	7.00	15584.99892
19250.0	7.25	15635.52723
19250.0	7.50	15679.75656
19250.0	7.75	15731.72282
19250.0	8.00	15790.72605
19250.0	8.25	15851.92019
19250.0	8.50	15916.90609
19250.0	8.75	15985.58714
19250.0	9.00	16056.80918
19250.0	9.25	16130.65705
19250.0	9.50	16281.23736
19500.0	6.50	15662.92410
19500.0	6.75	15704.14587
19500.0	7.00	15744.35093
19500.0	7.25	15791.84838
19500.0	7.50	15843.02965
19500.0	7.75	15892.25070
19500.0	8.00	15950.40277
19500.0	8.25	16010.27892
19500.0	8.50	16080.22728
19500.0	8.75	16149.76080
19500.0	9.00	16222.00094
19500.0	9.25	16299.69184
19500.0	9.50	16459.15143
19750.0	6.50	15824.81972
19750.0	6.75	15862.42949
19750.0	7.00	15906.59169
19750.0	7.25	15951.27244
19750.0	7.50	16001.77917
19750.0	7.75	16053.57666
19750.0	8.00	16110.89909
19750.0	8.25	16174.73320
19750.0	8.50	16241.82989
19750.0	8.75	16312.51697
19750.0	9.00	16389.39076
19750.0	9.25	16464.64275
19750.0	9.50	16640.45163
20000.0	6.50	15982.30672
20000.0	6.75	16020.00978
20000.0	7.00	16064.62468
20000.0	7.25	16109.68378
20000.0	7.50	16159.92441
20000.0	7.75	16215.80495
20000.0	8.00	16272.15688
20000.0	8.25	16337.87053
20000.0	8.50	16405.44960
20000.0	8.75	16477.01504
20000.0	9.00	16555.65617
20000.0	9.25	16633.45062
20000.0	9.50	16825.41759
21000.0	6.50	16630.63033
21000.0	6.75	16676.50212
21000.0	7.00	16718.78797
21000.0	7.25	16764.58309
21000.0	7.50	16818.73714
21000.0	7.75	16875.01165
21000.0	8.00	16934.47350
21000.0	8.25	17003.74216
21000.0	8.50	17073.00411
21000.0	8.75	17149.40933
21000.0	9.00	17226.17023
21000.0	9.25	17308.72568
21000.0	9.50	17490.10320
22000.0	6.50	17298.80250
22000.0	6.75	17339.92957
22000.0	7.00	17386.99550
22000.0	7.25	17440.00768
22000.0	7.50	17492.14217
22000.0	7.75	17551.18987
22000.0	8.00	17614.14126
22000.0	8.25	17682.67636
22000.0	8.50	17757.65405
22000.0	8.75	17836.27130
22000.0	9.00	17916.25852
22000.0	9.25	18003.16708
22000.0	9.50	18164.16555
23000.0	6.50	17980.03541
23000.0	6.75	18026.29308
23000.0	7.00	18070.65643
23000.0	7.25	18130.07166
23000.0	7.50	18186.48689
23000.0	7.75	18245.47190
23000.0	8.00	18319.32179
23000.0	8.25	18381.59065
23000.0	8.50	18462.22609
23000.0	8.75	18540.20663
23000.0	9.00	18626.32216
23000.0	9.25	18719.91364
23000.0	9.50	18863.33834
24000.0	6.50	18681.54616
24000.0	6.75	18729.84742
24000.0	7.00	18780.61318
24000.0	7.25	18838.74645
24000.0	7.50	18900.15068
24000.0	7.75	18968.23122
24000.0	8.00	19041.68003
24000.0	8.25	19112.22016
24000.0	8.50	19193.64413
24000.0	8.75	19274.49825
24000.0	9.00	19366.21256
24000.0	9.25	19458.27570
24000.0	9.50	19582.98687
25000.0	6.50	19413.98978
25000.0	6.75	19462.22511
25000.0	7.00	19517.46464
25000.0	7.25	19579.91054
25000.0	7.50	19641.32738
25000.0	7.75	19717.78541
25000.0	8.00	19789.82294
25000.0	8.25	19867.23715
25000.0	8.50	19952.46496
25000.0	8.75	20043.88000
25000.0	9.00	20135.99737
25000.0	9.25	20239.40173
25000.0	9.50	20339.47355
26000.0	6.50	20209.35948
26000.0	6.75	20252.08282
26000.0	7.00	20307.11893
26000.0	7.25	20368.58059
26000.0	7.50	20433.58259
26000.0	7.75	20499.54571
26000.0	8.00	20572.97895
26000.0	8.25	20652.72708
26000.0	8.50	20732.51337
26000.0	8.75	20815.34708
26000.0	9.00	20911.55788
26000.0	9.25	21009.28274
26000.0	9.50	21108.59001
27000.0	6.50	21036.86646
27000.0	6.75	21080.40720
27000.0	7.00	21136.43112
27000.0	7.25	21201.39165
27000.0	7.50	21264.59385
27000.0	7.75	21341.41542
27000.0	8.00	21420.40954
27000.0	8.25	21508.66304
27000.0	8.50	21596.07459
27000.0	8.75	21685.43738
27000.0	9.00	21788.38020
27000.0	9.25	21884.44933
27000.0	9.50	21992.07395
28000.0	6.50	21919.32735
28000.0	6.75	21966.29811
28000.0	7.00	22022.67478
28000.0	7.25	22095.05497
28000.0	7.50	22169.60566
28000.0	7.75	22248.75089
28000.0	8.00	22336.60841
28000.0	8.25	22425.15719
28000.0	8.50	22519.88985
28000.0	8.75	22616.90302
28000.0	9.00	22721.29674
28000.0	9.25	22830.06501
28000.0	9.50	22941.74540
29000.0	6.50	22883.77476
29000.0	6.75	22934.95646
29000.0	7.00	22988.70020
29000.0	7.25	23064.30321
29000.0	7.50	23142.53748
29000.0	7.75	23228.58488
29000.0	8.00	23315.04104
29000.0	8.25	23413.09817
29000.0	8.50	23508.26012
29000.0	8.75	23613.96570
29000.0	9.00	23719.18210
29000.0	9.25	23831.98602
29000.0	9.50	23942.28368
30000.0	6.50	23921.54919
30000.0	6.75	23966.11633
30000.0	7.00	24026.12430
30000.0	7.25	24088.75177
30000.0	7.50	24169.86346
30000.0	7.75	24250.55749
30000.0	8.00	24344.57146
30000.0	8.25	24437.25155
30000.0	8.50	24537.04091
30000.0	8.75	24641.95219
